Industry,Gender,Avg_Salary
"ESL Teacher",Man,36000000
Entertainment,"11 - 20 years",20800000
nil,Non-binary,10000000
nil,Man,9284782.76923077
"Accounting, Banking & Finance",Woman,4293853.776512455
"Social networks",Non-binary,2000000
"Accounting, Banking & Finance","College degree",1465000
"Energy / renewables",Woman,1115000
Ipr,Woman,1000000
Scientist,Woman,393166.6666666667
Environment,Woman,365022.5
"Corporate Training",Woman,280000
"Multilateral Organisation ",Man,250000
"Business or Consulting",nil,227615.7142857143
Pharmaceutical/biotechnology,Woman,227500
"Biotech/pharmaceuticals ",Man,227000
"Medical/Pharmaceutical ",Woman,220000
Petroleum,Woman,220000
"Accounting, Banking & Finance",Non-binary,207648.84
"Mining and natural resources",Man,200000
"Pharmaceutical company ",Woman,188000
"Pharma/ Research",Woman,185000
"Pharma research",Woman,180000
"Research Scientist, Pharma",Woman,175000
Bitech,Woman,175000
"Renewable Energy Development",Man,170000
"Pharma R&D",Woman,165000
"Pharmaceuticals / Biotech",Woman,160000
" Veterinary medicine",Woman,155000
"Aerospace Manufacturing",Man,154500
"Health and Safety",Man,153000
Biopharmaceuticals,Woman,150000
"Architecture, Engineering, Construction",Man,150000
"Engineering or Manufacturing",TRUE,150000
"Consumer food products ",Woman,145000
"Diversity, Equity & Inclusion ",Woman,140000
"Professional Association in Finance",Woman,140000
"Waste Management ",Woman,140000
"User Experience Design","Other or prefer not to answer",140000
"Government Relation",Woman,130000
"Research & Development (Physical Sciences)",Woman,130000
"Consumer Goods",Man,130000
"Biotech R&D",Woman,130000
"Social science ",Woman,129000
"Public Health, local government",Woman,127000
"Government Affairs/Lobbying",Woman,125065
"Staffing Firm",Woman,125000
"Energy, Oil and Gas",Woman,125000
"Scientific research (industry) ",Woman,122000
"Storage Facility ",Woman,120000
"Ecommerce fraud",Woman,120000
"Freelance/Self-Employed Consultant ",Man,120000
"Family office ",Woman,120000
"Restaurants & Hospitality",Woman,118000
"Biotech pharmaceuticals",Woman,116300
"It security ",Man,116000
"Software Products",Woman,115000
Foodservice,Woman,115000
"Product Management",Man,115000
"Real Estate / Housing",Man,113000
"Food/Quick Service Restaurant (QSR)",Man,110000
Intelligence,Woman,110000
Operations,Woman,110000
"Health care",Maine,110000
"Bioinformatics ",Woman,110000
"Archaeology/Cultural Resource Manager","Other or prefer not to answer",110000
"Chemicals/ Materials",Woman,109400
"Manufacturing (medical devices)",Woman,109000
"Politics/Government Relations",Woman,108500
"Early childhood education (preschool)",Woman,106000
Biotech/Pharma,Man,105500
Biotech/software,Woman,105000
"Biotech ",Man,105000
"Marketing, Advertising & PR",TRUE,105000
"Sourcing & Procurement",Woman,105000
"Wine & Spirits",Woman,105000
"Pharma/biotechnology ",Woman,104500
"political campaign",nil,103000
"Chemicals ",Woman,102000
