"Job Title",Total_Compensation
"Investment Banking Analyst",6000114100
"Senior IT Consultant",120004114
"Regional Operations & Training Manager ",120000870
"Legal editor",43958282
"ESL English Teacher ",36000000
Pharmacist,27239987
"Software engineer",25370994
"Voice Actor",21800000
"Senior Software Engineer",16355545
Director,10631231
"Regional Sales Manager",10240906
bum,10000299
"Managing Partner",9014075
"ESL teacher in Japan ",8320000
"Engineering Manager",8273313
"Project Manager",8204102
teacher,8061416
"Product Manager",7235183
partner,6459781
"Program Manager",6350837
Attorney,6111728
Manager,5902973
Associate,5544357
"Inside Sales Manager",5092044
Student,5066596
"Data Scientist",4769438
"Software Developer",4592264
"Marketing Manager",4585268
"Senior Staff",4543000
"Vice President",4372389
"Staff Software Engineer",4065372
"Managing director",4043495
"Senior Manager",3811264
"Software Development Manager",3732030
"Senior Director",3446327
"Director of Engineering",3291482
Consultant,3179910
"Public Relations Coordinator",3176259
"Account Manager",3066027
"General Manager",2778579
"Data Analyst",2695441
Analyst,2687500
"Executive Assistant",2636273
Lead,2600000
"HR Manager",2592629
"Senior Product Manager",2592053
"Executive Director",2553857
"Business Analyst",2495272
"Senior Engineering Manager",2466082
"Software engineering manager",2462047
Librarian,2461662
"Operations Manager",2363036
"Assistant Professor",2359320
"Security Engineer",2329356
"Principal Software Engineer",2277573
"Software engineer ",2273104
"Chief of Staff",2239753
"Associate Attorney",2014735
"Content Creator",2000097
Entrepreneur,2000000
"Principal Engineer",1976331
"Executive Assistant ",1870050
"Cluster Manager - Marketing",1852000
"Senior Analyst",1835610
"Senior Engineer",1813683
"Senior Tech Lead",1800000
"Associate Director",1793922
"Registered nurse",1782956
"Localization Director",1775007
"Senior Consultant",1767274
"Marketing Director",1699126
"Accounting Manager",1689279
VP,1682612
"Senior Data Scientist",1660198
"Consultant ",1619385
"Programme Officer for Latin America and the Caribbean - Research and Advocacy",1608000
"Office Manager",1607326
"Process Engineer",1605628
"Software Engineer II",1563045
"Cyber Security Management",1550000
Counsel,1519313
"Site Reliability Engineer",1503740
"Customer Success Manager",1502535
RN,1502482
"Deliverability Specialist",1500000
"Software Architect",1498963
"Senior Software Developer",1490360
"Technical writer",1480812
"Senior Researcher",1443929
"Project Engineer",1442217
"HR Generalist",1422462
"Lead Software Engineer",1420609
"Senior Associate",1413049
"Senior Project Manager",1391906
"IT Manager",1384872
Scientist,1381329
"Senior Program Manager",1343100
Controller,1296829
"Human Resources Manager",1294188
"Executive Director ",1292954
"Senior staff software engineer",1287000
Paralegal,1268320
"Director ",1264175
"Finance Manager",1258892
Lawyer,1231755
"Technical Program Manager",1219428
"Sales Engineer",1202780
"Clinical physiologist ",1200000
"Administrative Assistant",1194672
"Director of Operations",1192561
"Principal Program Manager",1190442
"Account Executive",1182184
"Director of Marketing",1177043
"Senior staff engineer",1174199
"Associate Director ",1166499
"Financial Analyst",1153127
CEO,1140086
"Senior Business Systems Analyst ",1136000
"Editor in chief",1127140
"Staff Software Engineer ",1120632
"Governance, risk, and compliance program manager",1115000
"Senior scientist",1113448
Doctor,1096638
"Associate Consultant",1085070
"Associate professor",1077599
"Manager of Data Science ",1060000
"Senior Data Analyst",1058439
Editor,1053172
SVP,1048201
"Vice President ",1039520
"Software Development Engineer",1036863
"Senior Financial Analyst",1025648
"Systems Engineer",1024648
"Head of Operations",1024591
"graphic designer",1003023
Physician,1002540
"Staff Scientist",1001222
"Sr. Research associate",1000000
"Senior NAtural Language Processing engineer",1000000
"It security consultant ",1000000
"Account executive ",995512
"Engagement Manager",993885
"Research Associate",984881
"Account Manager ",980658
CTO,976633
"HR director",975483
"IT Director",973668
"Senior Counsel",970943
owner,970691
"Learning specialist",960769
"Product Owner",959963
"Business Systems Analyst III",958108
"Mechanical Engineer",953737
"Assistant Director",920558
"UX Designer ",912765
"Team Lead",910530
"Environmental Consultant",909200
"Business Development Manager",907836
"Senior Corporate Counsel",902413
"Communication Specialist",900234
"Data Engineer",900025
Accountant,900004
Engineer,870128
Coordinator,863092
