Industry,"Years of Professional Experience Overall",Employee_Count
" Buyer","11 - 20 years",1
" Veterinary medicine","31 - 40 years",1
""Government Relations"" (Lobbying) "","5-7 years",1
Academia,"2 - 4 years",2
Academia,"1 year or less",1
Academia,"8 - 10 years",1
"Academia ","8 - 10 years",1
"Academia - STEM","2 - 4 years",1
"Academia / Research","11 - 20 years",1
"Academia--cell and molecular biology","5-7 years",1
"Academic Medicine ","8 - 10 years",1
"Academic Press Production","8 - 10 years",1
"Academic publishing","11 - 20 years",2
"Academic Publishing","5-7 years",1
"Academic publishing","2 - 4 years",1
"Academic Publishing","8 - 10 years",1
"Academic publishing ","8 - 10 years",1
"Academic research","11 - 20 years",3
"Academic research","8 - 10 years",1
"Academic research","5-7 years",1
"academic research","2 - 4 years",1
"Academic research (Psychology)","2 - 4 years",1
"Academic research (social science)","2 - 4 years",1
"Academic science","8 - 10 years",2
"Academic Science ","8 - 10 years",1
"Academic Scientific Research","5-7 years",1
"Academic/nonprofit research","1 year or less",1
Accessibility,"8 - 10 years",1
"Accounting, Banking & Finance","11 - 20 years",571
"Accounting, Banking & Finance","8 - 10 years",347
"Accounting, Banking & Finance","5-7 years",300
"Accounting, Banking & Finance","21 - 30 years",256
"Accounting, Banking & Finance","2 - 4 years",197
"Accounting, Banking & Finance","31 - 40 years",70
"Accounting, Banking & Finance","1 year or less",46
"Accounting, Banking & Finance","41 years or more",8
"Accounting, Banking & Finance",Pune,1
"Accounting, Banking & Finance",NewNAYork,1
"Accounting, Banking & Finance","College degree",1
Actuarial,"1 year or less",1
Administration,"5-7 years",1
"Administration ","11 - 20 years",1
"Administration (food service)","11 - 20 years",1
"Administration in MLM","8 - 10 years",1
"Administration, IT","31 - 40 years",1
"Administrative ","8 - 10 years",1
"Administrative Support","11 - 20 years",1
"Administrative Work","8 - 10 years",1
"Adult education","2 - 4 years",1
Aerospace,"11 - 20 years",3
"Aerospace ","8 - 10 years",1
"Aerospace & Defense","11 - 20 years",1
"Aerospace and Defense","11 - 20 years",1
"Aerospace and Defense","1 year or less",1
"Aerospace and Defense Manufacturing","21 - 30 years",1
"Aerospace and Defense/Government Contracting","5-7 years",1
"Aerospace contracting","11 - 20 years",1
"aerospace data","5-7 years",1
"Aerospace Manufacturing","21 - 30 years",1
Aerospace/aviation,"11 - 20 years",1
"Aerospace/Aviation ","8 - 10 years",1
Aerospace/Defense,"2 - 4 years",1
"Affordable Housing Real Estate Development (nonprofit)","11 - 20 years",1
"Agriculture or Forestry","11 - 20 years",48
"Agriculture or Forestry","8 - 10 years",39
