Country,"Job Title",Max_Salary
"United States","Senior Technical Writer",99952
usa,"Program Management Department Manager",99850
"United States",Attorney,99780
USA,"Quality and Manufacturing Engineering Manager",99600
Usa,"senior project consultant ",99500
USA,"Senior Tax Analyst",99500
USA,"Finance Manager",99500
USA,"Marketing Manager",99500
"United States","School Psychologist",99448
US,"Technology Manager/Scrum Master",99300
Canada,"Change Manager",99100
USA,"Special Education/ESL Teacher",99009
"United States","Senior Social Services Supervisor ",99000
"United States","Director - IT Strategy",99000
USA,Partner,99000
"United States","Product Manager",99000
US,RN,99000
"United States","Senior Director",99000
"United States","Program Manager",99000
USA,"Administrative Analyst II",99000
U.S.,"Software engineer",99000
"United States","Software Engineer 2",99000
US,"Legal content analyst",99000
Canada,"Associate Director, Application Support",99000
"United States","Staff assistant",99000
Germany,"Engineering Manager",99000
"United States","Social Media Manager",99000
USA,"Senior HR Analyst",99000
US,"Enablement manager",99000
"United States","Deputy Director of Communications","99,945"
"United States","Occupational Therapist","99,840"
"New Zealand",Pharmacist,"99,800"
USA,"Senior Mechanical Engineer","99,800"
"United States","Manager, Digital Advertising Operations","99,750"
"United States","Staff Attorney","99,750"
Canada,"Senior Data Manager","99,750"
"United States",Librarian,"99,745"
"United States ","Social Entrepreneur ","99,700"
US,Economist,"99,600"
USA,"Regulatory Affairs Specialist, senior","99,500"
"United States","AVP Digital Marketing","99,500"
U.S.,"Informatics Epidemiologist","99,500"
USA,"Managing Attorney","99,500"
"united states","sr electrical engineer","99,500"
US,"Associate Counsel","99,415"
USA,"Business Control Analyst ","99,400"
"United States","Human Resources Business Partner","99,364"
Ireland,"program manager","99,250"
USA,"Senior Deputy Attorney General","99,250"
"United States","Vice President","99,221"
USA,"Regulatory affairs manager","99,100"
"United States","Marketing Channel Manager","99,000"
"USA ","Data scientist","99,000"
"USA ","Professor ","99,000"
USA,"Deputy Director","99,000"
"United States","Account Executive","99,000"
"United States","Transportation Planning Associate","99,000"
"United States","Staff RN","99,000"
"United States","Solutions Consultant","99,000"
USA,"Software Engineer","99,000"
USA,"Product Owner","99,000"
"United States (I work from home and my clients are all over the US/Canada/PR","Project Manager","99,000"
"United States",Pharmacist,"99,000"
USA,"System Owner","99,000"
US,"Senior BI Analyst","99,000"
U.S.,Scientist,"99,000"
U.S.,"city planner ","99,000"
"United States","Sr Employee Experience Specialist","99,000"
USA,"Assistant Professor (Biology)","99,000"
"United States","General Counsel","99,000"
Germany,"Senior Data Architect","99,000"
"United States","Organizational Development Consultant","99,000"
"United States","Communications Coordinator / Deputy Public Information Officer","99,000"
USA,"Associate Manager",98800
USA,"Senior Application Engineer",98800
Usa,Controller/treasurer,98800
USA,PA,98700
"United States","Project Manager",98530
"United States","Equity Coordinator",98500
Canada,"Manager, Process Engineering",98500
USA,"System Manager (IT)",98500
US,"Senior financial administrator ",98500
USA,"Sustainability Consultant",98100
USA,"Senior material coordinator ",98004
"United States","Tech integration specialist",98000
"United States","Manager II Rehab Services",98000
"United States","CRM & Email Marketing Operations Director",98000
US,"Occupational Therapist",98000
USA,"Project Manager, Mechanical",98000
UK,"Data Science Manager",98000
USA,"Nurse Informatics Specialist",98000
Australia,"Research Librarian",98000
Australia,"Pharmacist Manager",98000
"United States of America","Registered Nurse",98000
Australia,Associate,98000
"United States","Department Manager",98000
US,"HR Manager ",98000
US,"Senior Data Analyst",98000
"United States ","Payroll Administrator ",98000
"United States ","Board Certified Behavior Analyst",98000
"United States","Sr. Project Engineer",98000
"United States","Cybersecurity senior risk specialist ",98000
"United states","Manager of Project Management",98000
USA,"Senior Email Specialist",98000
USA,"Network Technical Specialist",98000
USA,"Strategic Account Manager",98000
USA,"Fleet Manager ",98000
"United States","Senior User Researcher & Service Designer",98000
US,"Cyber Security Engineer",98000
"United States","School counselor ",98000
USA,"Database Administrator Technical Lead",98000
US,Manager,98000
"United States",Instructor,98000
Canada,"Senior Policy Analyst",98000
USA,"HR Manager",98000
"United States","Senior technical claims specialist ","98,950"
"United States","Assistant Professor","98,931"
USA,"Quality Assurance Engineer","98,908"
"United States of America","Contract Specialist ","98,827"
US,"HR Specialist","98,765"
USA,"Senior Manager of Demand Planning","98,736"
US,"Vendor manager ","98,714"
Canada,"Policy Analyst","98,650"
"United States","Knowledge Analyst","98,600"
USA,"Head, Departmental Library","98,600"
"United States",Director,"98,600"
US,"Managing Director","98,500"
"United States","Program Director","98,500"
"United States","Project Controller Senior","98,500"
"United states","Librarian ","98,500"
USA,Controller,"98,500"
USA,Manager,"98,500"
"United States","Software Developer","98,500"
U.S.,"Systemwide Products Director","98,500"
"United States","Accounting Manager","98,500"
"United States","Global Compliance Manager","98,500"
US,"Senior Producer","98,500"
Canada,"Manager, Technology","98,500"
Australia,"Registered nurse","98,500"
US,"Senior application programmer ","98,500"
USA,Teacher,"98,486"
"United States","Lead Analyst","98,300"
"USA ","Senior project manager ","98,200"
"United States","senior web application developer","98,166"
usa,"Principal Policy Analyst","98,000"
Canada,"Program Manager","98,000"
Usa,"Engineering manager","98,000"
"United states","Compliance consultant","98,000"
"United States","Business Consultant","98,000"
Canada,"Lawyer ","98,000"
USA,"Senior Manager","98,000"
US,"Conversion Optimization Specialist","98,000"
US,"Executive Director","98,000"
US,"Data Analyst","98,000"
"United States","Sr Marketing manager ","98,000"
USA,"Director (fundraising)","98,000"
"United States","Security Officer","98,000"
USA,"Senior Executive Assistant","98,000"
USA,"Teacher ","98,000"
"United States","Marketing Manager","98,000"
"United States","Technology Manager","98,000"
Canada,"Senior Advisor","98,000"
USA,"Senior Account Director","98,000"
"United States",Consultant,"98,000"
USA,"Customs Services Lead","98,000"
USA,"Executive Director","98,000"
Canada,NP-PHC,"98,000"
US,Engineer,"98,000"
"United States","Senior trust associate","98,000"
"United States ","Talent and Leadership Development Manager","98,000"
Canada,"Assistant Professor","98,000"
US,"Assistant Finance Director","98,000"
"United States","Customer Success Manager","98,000"
USA,"Mechanical Engineering ","98,000"
"United States","Category Management Specialist","98,000"
USA,"Manager of New Technology Development","98,000"
USA,"Lead Project Analyst/Engineer ","98,000"
"United States ","Pediatric nurse practitioner ","98,000"
"United States","business intelligence developer","98,000"
"United States","Tax Manager","98,000"
US,"Director of Purchasing","98,000"
"United States","Supervisor, Manufacturing Engineering","98,000"
USA,"Consulting Behavior Analyst","98,000"
"United States","Management Consultant (public sector)","98,000"
USA,"Senior Systems Analyst","98,000"
"USA ","Executive Assistant ","98,000"
Canada,"Business Analyst","98,000"
"United States","Manager, Training","98,000"
USA,"Ecommerce account leader","98,000"
USA,"IT Technical Support Analyst","98,000"
Usa,"Controls engineer 2","98,000"
"United States","Project Lead","98,000"
"Canada ","Director of People Operations","98,000"
Australia,"Senior Project Officer","98,000"
Germany,"Senior Legal Counsel","98,000"
