Industry,Gender,"Highest Level of Education Completed",Avg_Salary
"ESL Teacher",Man,"College degree",36000000
nil,Man,"College degree",24019235.2
Entertainment,"11 - 20 years",Tokyo,20800000
nil,Non-binary,"Professional degree (MD, JD, etc.)",10000000
"Accounting, Banking & Finance",Woman,"College degree",7456857.572490706
Insurance,Man,"Professional degree (MD, JD, etc.)",2000000
"Social networks",Non-binary,PhD,2000000
"Accounting, Banking & Finance",Non-binary,"High School",1666694
"Accounting, Banking & Finance","College degree","11 - 20 years",1465000
"Business or Consulting",nil,"Professional degree (MD, JD, etc.)",1300000
"Energy / renewables",Woman,"Master's degree",1115000
Scientist,Woman,PhD,1000000
Ipr,Woman,PhD,1000000
Environment,Woman,"College degree",730000
"Education (Higher Education)",Woman,NA,599618.5
Law,Woman,"Master's degree",440568.78846153844
"Marketing, Advertising & PR",Man,NA,392370
"Corporate Training",Woman,"Master's degree",280000
"Computing or Tech",Man,NA,259109.2105263158
"Government Affairs/Lobbying",Woman,"Professional degree (MD, JD, etc.)",250000
"Multilateral Organisation ",Man,"Master's degree",250000
Consulting,Man,"Some college",250000
Pharmaceutical/biotechnology,Woman,PhD,227500
"Biotech/pharmaceuticals ",Man,"College degree",227000
Sales,Woman,"Master's degree",220503.89655172414
Petroleum,Woman,"Master's degree",220000
"Medical/Pharmaceutical ",Woman,"Master's degree",220000
"Mining and natural resources",Man,"Master's degree",200000
Pharmaceuticals,Woman,"Professional degree (MD, JD, etc.)",198500
Pharma,Woman,"Professional degree (MD, JD, etc.)",192500
"Pharmaceutical company ",Woman,PhD,188000
"Pharma/ Research",Woman,"Master's degree",185000
"Pharma research",Woman,PhD,180000
Technology,Woman,"College degree",178000
"Research Scientist, Pharma",Woman,"Master's degree",175000
Biopharma,Woman,"Master's degree",175000
Bitech,Woman,"College degree",175000
"Renewable Energy Development",Man,"Professional degree (MD, JD, etc.)",170000
"Business or Consulting",nil,PhD,170000
"Pharma R&D",Woman,"Master's degree",165000
"Pharmaceuticals / Biotech",Woman,PhD,160000
"Consumer Packaged Goods",Man,"Professional degree (MD, JD, etc.)",160000
"Computing or Tech",Man,"Professional degree (MD, JD, etc.)",158277.08333333334
" Veterinary medicine",Woman,"Professional degree (MD, JD, etc.)",155000
"Aerospace Manufacturing",Man,"College degree",154500
"Health and Safety",Man,"Master's degree",153000
Biopharmaceuticals,Woman,"Master's degree",150000
"Architecture, Engineering, Construction",Man,"Master's degree",150000
"Engineering or Manufacturing",TRUE,"Other or prefer not to answer",150000
Energy,Woman,"Professional degree (MD, JD, etc.)",148000
"Consumer food products ",Woman,"Master's degree",145000
"Professional Association in Finance",Woman,"Master's degree",140000
"Diversity, Equity & Inclusion ",Woman,"College degree",140000
"Waste Management ",Woman,"Master's degree",140000
"User Experience Design","Other or prefer not to answer","College degree",140000
Mining,Man,"Master's degree",138000
"Marketing, Advertising & PR",Non-binary,"Some college",135000
"Environmental Consulting",Man,"Master's degree",132000
"Consumer Goods",Man,"Master's degree",130000
"Research & Development (Physical Sciences)",Woman,PhD,130000
Biotech/Pharma,Man,PhD,130000
"Government Relation",Woman,"Master's degree",130000
"Biotech R&D",Woman,"College degree",130000
"Social science ",Woman,PhD,129000
"Public Health, local government",Woman,"Master's degree",127000
"Staffing Firm",Woman,"College degree",125000
"Energy, Oil and Gas",Woman,"College degree",125000
IT,Woman,"Master's degree",123600
"Scientific research (industry) ",Woman,PhD,122000
Pharma,Man,"Professional degree (MD, JD, etc.)",122000
"Engineering or Manufacturing","Other or prefer not to answer",PhD,122000
Insurance,nil,"College degree",120000
"Freelance/Self-Employed Consultant ",Man,"College degree",120000
"Ecommerce fraud",Woman,"College degree",120000
"Storage Facility ",Woman,"College degree",120000
"Family office ",Woman,"College degree",120000
"Pharmaceutical R&D",Woman,PhD,119000
"Restaurants & Hospitality",Woman,"College degree",118000
"Biotech pharmaceuticals",Woman,"College degree",116300
"It security ",Man,"Some college",116000
Foodservice,Woman,"College degree",115000
"Software Products",Woman,"Master's degree",115000
"Hospitality & Events",Woman,PhD,115000
"Product Management",Man,"Master's degree",115000
Veterinary,Woman,"Professional degree (MD, JD, etc.)",113519
"Real Estate / Housing",Man,"Master's degree",113000
"Business or Consulting",Non-binary,PhD,112000
Pharma,Woman,PhD,111000
"Archaeology/Cultural Resource Manager","Other or prefer not to answer","Master's degree",110000
"Health care",Maine,USA,110000
Operations,Woman,"College degree",110000
"Bioinformatics ",Woman,"Master's degree",110000
Intelligence,Woman,"College degree",110000
"Food/Quick Service Restaurant (QSR)",Man,"College degree",110000
"Chemicals/ Materials",Woman,PhD,109400
"Medical Device",Woman,"College degree",109000
"Manufacturing (medical devices)",Woman,"Professional degree (MD, JD, etc.)",109000
"Politics/Government Relations",Woman,"College degree",108500
"Healthcare IT",Woman,"Master's degree",106080
"Early childhood education (preschool)",Woman,"Master's degree",106000
Law,Woman,NA,105507
"Biotech ",Man,"College degree",105000
"Sourcing & Procurement",Woman,"Professional degree (MD, JD, etc.)",105000
Biotech/software,Woman,"College degree",105000
"Marketing, Advertising & PR",TRUE,Woman,105000
"Wine & Spirits",Woman,"College degree",105000
"Pharma/biotechnology ",Woman,"Master's degree",104500
"Health care",Man,"Professional degree (MD, JD, etc.)",103613.64
Scientist,Woman,"College degree",103500
"political campaign",nil,"College degree",103000
"Information technology (IT)",Woman,"College degree",102000
"Chemicals ",Woman,"Master's degree",102000
"Health care",nil,PhD,102000
Distribution,Woman,"Some college",101000
"Internal Communications",Woman,"College degree",100800
Energy,Woman,"Master's degree",100086.5
"Utilities & Telecommunications",Man,PhD,100053.5
"Engineering or Manufacturing",Man,"Master's degree",100019.46153846153
"Food and Beverage ",Woman,"Master's degree",100000
"Communications ",Woman,"Some college",100000
"Haz/Ind/Rad Waste Management ",Woman,"College degree",100000
"Cannabis compliance",Woman,"Master's degree",100000
"Government Contracting R&D",Woman,"College degree",100000
"Consulting Operations- Big 4",Woman,"College degree",100000
"digital commerce / ecommerce",Man,"College degree",100000
"Manufacturing/Consumer Packaged Goods",Woman,"College degree",100000
"Information Technology",Woman,"Master's degree",99952
"Organizational Development ",Woman,"Master's degree",99100
nil,"Other or prefer not to answer","Master's degree",98000
Pharmaceutical,Non-binary,"Master's degree",98000
"Pharmaceitical manufacturing",Woman,"College degree",96304
"Medical Devices",Man,"Master's degree",96000
Law,"Other or prefer not to answer","Professional degree (MD, JD, etc.)",95210
Law,nil,"Professional degree (MD, JD, etc.)",95033.28571428571
"Transport or Logistics","Other or prefer not to answer",NA,95000
"Life Sciences",Man,PhD,95000
"Hardware Manufacturing",Woman,"College degree",95000
"Grantwriting Consultants",Woman,"Master's degree",94000
"Manufacturing (personal care)",Woman,"High School",94000
"DoD Contracting",Woman,"College degree",93000
"Supply Chain Operations",Woman,"College degree",93000
Software,Woman,"Some college",92700
"Environmental ",Man,"Master's degree",92000
Pharma,Man,"College degree",91200
"Library ",Woman,"College degree",91000
"Industrial Hygiene",Woman,"Master's degree",90000
"Pharmaceutical R&D",Man,"Master's degree",90000
"Behavior analysis/mental health",Woman,"Master's degree",90000
Soldier,Man,"College degree",90000
"Benefits Administration",Woman,"College degree",89000
"Manufacturing ",Man,"College degree",88000
environmental,Woman,"Master's degree",87880
Maintenance,Man,"College degree",87000
Purchasing,Woman,"College degree",86200
"Accounting, Banking & Finance","Other or prefer not to answer","Professional degree (MD, JD, etc.)",86042.5
Biotech,Non-binary,"Master's degree",86000
"Pharmaceuticals ",Woman,PhD,85750
"Accounting, Banking & Finance",nil,NA,85622.5
"Business or Consulting",Man,PhD,85068
"Food Industry",Woman,PhD,85000
"Labor Union",Woman,"College degree",84711
"Education- museum/public outreach ",Woman,"Master's degree",84000
"Compliance ",Woman,"Professional degree (MD, JD, etc.)",83000
Military,Woman,"College degree",83000
"Research / Gov",Man,PhD,83000
"Public Library",Man,"College degree",82700
"Landscape Architecture",Woman,"Master's degree",82000
"Clinical Research Manager - academic institution",Woman,"College degree",82000
"Professional services ",Woman,"College degree",81600
"Research and Development",Woman,PhD,81314.5
Biotech/Pharma,Man,"Master's degree",81000
"Art & Design",Woman,PhD,80025
"Skilled trade ",Woman,"Some college",80000
Sales,nil,"Some college",80000
"Food Processing",Woman,"Some college",80000
Scientific,Woman,"Master's degree",80000
Scientific,Woman,"College degree",80000
Automotive,Man,"College degree",80000
"academic research",Man,PhD,80000
nil,Man,"Master's degree",79857.14285714286
"Research Science",Woman,"College degree",79000
Animation,Woman,"College degree",79000
Telecommunications,Woman,"College degree",79000
"Professional services / architecture ",Woman,"College degree",78000
Software,Man,"Some college",78000
Hospital,Woman,"Master's degree",77500
Manufacturing,Man,"Master's degree",77000
"Marketing, Advertising & PR",Man,"High School",76716.66666666667
"Digital Marketing",Woman,"College degree",76700
" Buyer",Woman,"Some college",76650
"Utilities & Telecommunications",Man,"Master's degree",76579.36
Communications,Man,"College degree",76500
Environmental,Man,"College degree",76350
Scientist,Woman,"Master's degree",76000
Aerospace/aviation,Woman,"College degree",76000
"Sales ",Woman,"College degree",76000
"Social Work",Woman,NA,75787.25
"Government Research",Woman,"Master's degree",75400
"Engineering or Manufacturing",Man,NA,75333.33333333333
"Architecture & Construction",Woman,"Master's degree",75000
aviation,Woman,"Master's degree",75000
"Historic Preservation",Woman,"Master's degree",75000
"Contact Center",Woman,"College degree",75000
"Earth sciences",Woman,"Master's degree",75000
"International defence",Woman,"Master's degree",75000
"Sales operations",Man,"College degree",75000
"Regulatory Affairs",Man,"College degree",75000
"Environmental ",Man,"College degree",74750
"Research and Development Academia",Woman,"Master's degree",74500
Mining,Man,"College degree",73000
"Pharmaceutical ",Woman,"Some college",72605.5
Fintech,Woman,"College degree",72531
Publishing,Woman,PhD,72500
Sales,Man,"Some college",72145.33333333333
"Enviromental ",Man,"College degree",72000
"Public/Research Library",Woman,"Master's degree",72000
"Non-profit Theatre",Woman,"College degree",72000
"Specialist clothing",Woman,"College degree",72000
"Survey methodology",Woman,"Master's degree",71000
Pharmaceuticals,Man,"College degree",71000
"Engineering or Manufacturing",nil,"Master's degree",70758.33333333333
Energy,nil,NA,70720
Consulting,Woman,"College degree",70000
"Transport or Logistics",Man,NA,70000
"Government ",Woman,"Master's degree",70000
Construction,Man,"College degree",70000
"Environmental science ",Man,"College degree",70000
Pharmaceuticals,Woman,"Master's degree",69382.33333333333
"Private Equity",Woman,"College degree",69037.5
"Background Screening",Woman,"College degree",69000
"Commercial Real Estate Data and Analytics/Research",Woman,"College degree",68700
"Print publishing",Man,"College degree",68500
"Environmental Consulting ",Woman,"College degree",68000
"association management",Woman,"Master's degree",68000
CPG,Woman,"Some college",68000
Maritime,Man,"Some college",67580
"Health care","Other or prefer not to answer","Professional degree (MD, JD, etc.)",67544
"Real Estate",Man,"Master's degree",67532.5
"Trade Associations",Woman,"College degree",67000
"Archives ",Woman,"Master's degree",67000
Biotechnology,Man,"College degree",66500
Retail,Man,"Professional degree (MD, JD, etc.)",66348.33333333333
Biotechnology,Man,"Master's degree",66342.5
Entertainment,"Other or prefer not to answer","College degree",66240.71428571429
"Oil & Gas",Man,"Master's degree",66022.5
"Pharmaceutical R&D",Man,"College degree",66000
"Political Campaigns",Woman,"College degree",66000
"Transport or Logistics",Woman,"High School",65073.71428571428
Nonprofits,Man,"Professional degree (MD, JD, etc.)",65065
Insurance,Woman,NA,65022.5
"Public health (not medical)",Non-binary,"College degree",65000
"Research & Development ",Woman,PhD,65000
"Repair facility for heavy duty trucks","Other or prefer not to answer","High School",65000
Law,Man,"High School",65000
"Manufacturing ",Woman,PhD,65000
"Consulting ",Man,"Master's degree",65000
"Facilities ",Woman,"Master's degree",65000
"manufacturing security systems",Woman,"Master's degree",64260
E-commerce,Woman,"College degree",64000
"Health care",Woman,NA,63827.857142857145
Entertainment,Man,"Master's degree",63488
"Print Distributor ",Woman,"College degree",62500
"Law Enforcement & Security",Man,"High School",62500
"Staffing agency",Woman,"Master's degree",62400
"Education (Early Childhood Education)",Woman,"College degree",62400
Biotech/Pharma,Woman,"College degree",62072.5
"Laundry and Rental",Woman,"College degree",62000
"construction ",Woman,"College degree",62000
"Health care",Woman,"College degree",61494.4476744186
"Environmental Restoration",Woman,"College degree",61050
"Media & Digital","College degree","5-7 years",61000
"Arts Administration ",Woman,"College degree",61000
Manufacturing,nil,"College degree",60800
Psychologist,Man,PhD,60000
"Rural electrification",Woman,"College degree",60000
Warehouse,Man,"College degree",60000
"Pre-primary education",Woman,"Master's degree",60000
"Property or Construction",nil,"College degree",60000
"Food industry ",Woman,"College degree",60000
"Wholesale Distribution B2B",Woman,"College degree",60000
"Public health",Woman,NA,60000
"Construction Management",Woman,"College degree",60000
"Env. Consulting",Man,"College degree",60000
"Oil and gas exploration",Man,"College degree",60000
"Staffing & workforce solutions ",Woman,"College degree",59900
"Higher education fundraising",Woman,"Master's degree",59000
"funeral services",Woman,"Master's degree",58642
Edtech,Woman,"College degree",58500
"Recruitment or HR",Woman,PhD,58392.75
"Government and Public Administration","Other or prefer not to answer","Some college",58250
"Engineering or Manufacturing",nil,"College degree",58117.71428571428
"Pharmaceutical Development",Woman,PhD,58101.666666666664
Investing,Woman,"Some college",58000
"Health care",nil,"Some college",58000
"Education (Primary/Secondary)",nil,NA,58000
"Publishing, content as a service",Woman,"College degree",57500
"Accounting, Banking & Finance",nil,"Master's degree",57158.166666666664
Brewing,Man,"College degree",57000
"Science Research",Non-binary,"Master's degree",56763
"Professional Association ",Woman,"College degree",56500
"Cultural Resource Management",Woman,"College degree",56388
"Utilities & Telecommunications",Woman,"College degree",56338.984375
"Hospitality & Events",Woman,"Professional degree (MD, JD, etc.)",56250
"Government Contracting",Woman,"Master's degree",56055
"Social Work",nil,"Master's degree",56000
"Writing and journalism ",Woman,"Some college",56000
Zoo,Woman,"Master's degree",56000
"Business or Consulting",Man,"Some college",55957.57142857143
Energy,Woman,"College degree",55875
"Health care",Man,PhD,55364.25
"International Development",Man,"College degree",55000
"Social sciences research",Woman,"College degree",55000
"Purchasing ",Woman,"Some college",55000
"Military ",Man,"College degree",55000
"Property or Construction",nil,NA,55000
"Business or Consulting",Woman,NA,54551.25
"Environmental compliance",Woman,"Master's degree",54027
"Ecology ",Woman,"Master's degree",54000
Literature,Woman,PhD,54000
nil,Woman,PhD,53693.333333333336
Law,"Other or prefer not to answer","College degree",53351.666666666664
"Art & Design",Woman,"Professional degree (MD, JD, etc.)",53345
"Information Services/Libraries",Woman,"Master's degree",53000
"Behavioral Health",Woman,"Master's degree",52416
Aviation,Woman,"College degree",52400
"Oilfield adjacent",Woman,"Some college",52234
"environmental health and safety",Woman,"Master's degree",52000
"Museum (<20 employees)",Woman,"Master's degree",52000
"Veterinary ",Woman,"College degree",52000
"Government and Public Administration",Man,"High School",51652.11111111111
Finance,Woman,"College degree",51545
"Property or Construction","Other or prefer not to answer","Master's degree",51399.333333333336
"Content Review - Copyright/DMCA",Man,"Some college",51000
"Accounting, Banking & Finance","Other or prefer not to answer","Some college",50500
"Media & Digital",Man,"Professional degree (MD, JD, etc.)",50072.5
"Art & Design",Man,"Some college",50046
"Recruitment or HR",nil,"College degree",50040.333333333336
"Utilities & Telecommunications",Non-binary,"Master's degree",50000
"Library Tech for a school system",Woman,"Some college",50000
"Wealth advisor Research",Woman,"Master's degree",50000
"Real Estate customer care",Woman,"College degree",50000
"Natural Resources",Woman,"College degree",50000
"Consulting / Professional Services",Non-binary,"College degree",50000
"Wholesale Industrial & Welding Supplies & Equipment",Woman,"High School",50000
"Auto Repair",Man,"Some college",50000
"Publishing ",Woman,"Master's degree",50000
"Engineering or Manufacturing","Other or prefer not to answer","Master's degree",49555.333333333336
Aerospace,Woman,"College degree",49533
